Conversion ID,Conversion Name,Status,Type,Category
6533381703,mahr.tecostore.vn (web) purchase,HIDDEN,GOOGLE_ANALYTICS_4_PURCHASE,PURCHASE
6781988560,shop.tecotec.vn (web) add_to_cart,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,ADD_TO_CART
6782156531,shop.tecotec.vn (web) begin_checkout,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,BEGIN_CHECKOUT
6695067594,shop.tecotec.vn (web) call_hotline,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,CONTACT
6693489013,shop.tecotec.vn (web) chat_FbMessenger,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,CONTACT
6691504528,shop.tecotec.vn (web) chat_zaloOA,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,CONTACT
6792236057,shop.tecotec.vn (web) dien_form_GA4,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,PURCHASE
6691516551,shop.tecotec.vn (web) form_start,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,SIGNUP
6690551934,shop.tecotec.vn (web) purchase,REMOVED,GOOGLE_ANALYTICS_4_PURCHASE,PURCHASE
6691504237,shop.tecotec.vn (web) submit_WPForms,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,SIGNUP
6690794050,shop.tecotec.vn (web) view_cart,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,ADD_TO_CART
7546449530,tecostore.vn Formsubmit,REMOVED,WEBPAGE,SUBMIT_LEAD_FORM
6448682123,tecostore.vn GA4 (web) add_to_cart,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,ADD_TO_CART
6502335313,tecostore.vn GA4 (web) begin_checkout,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,BEGIN_CHECKOUT
972913668,tecostore.vn GA4 (web) call_hotline,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,CONTACT
972913671,tecostore.vn GA4 (web) click_btn_add_to_cart,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,ADD_TO_CART
972913677,tecostore.vn GA4 (web) click_btn_de_nghi_bao_gia,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,SUBMIT_LEAD_FORM
7592682905,tecostore.vn GA4 (web) click_btn_facebook,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,CONTACT
972913674,tecostore.vn GA4 (web) click_btn_mua_hang_ngay,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,SUBMIT_LEAD_FORM
7593088954,tecostore.vn GA4 (web) click_btn_zalo,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,CONTACT
972913665,tecostore.vn GA4 (web) click_de_nghi_bao_gia_header,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,SUBMIT_LEAD_FORM
972913800,tecostore.vn GA4 (web) de_nghi_bao_gia_san_pham,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,REQUEST_QUOTE
972913806,tecostore.vn GA4 (web) finalize_de_nghi_bao_gia_header,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,REQUEST_QUOTE
972913803,tecostore.vn GA4 (web) finalize_de_nghi_bao_gia_san_pham,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,REQUEST_QUOTE
6448666288,tecostore.vn GA4 (web) form,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,SUBMIT_LEAD_FORM
7593069300,tecostore.vn GA4 (web) form_start,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,BEGIN_CHECKOUT
7593069321,tecostore.vn GA4 (web) form_submit,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,SUBMIT_LEAD_FORM
7593069342,tecostore.vn GA4 (web) form_submit_products,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,SUBMIT_LEAD_FORM
7593069345,tecostore.vn GA4 (web) form_submit_top,HIDDEN,GOOGLE_ANALYTICS_4_CUSTOM,SUBMIT_LEAD_FORM
972913662,tecostore.vn GA4 (web) purchase,REMOVED,GOOGLE_ANALYTICS_4_PURCHASE,PURCHASE
6453603278,tecostore.vn GA4 (web) view_cart,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,ADD_TO_CART
6453608081,tecostore.vn GA4 (web) view_item,REMOVED,GOOGLE_ANALYTICS_4_CUSTOM,PAGE_VIEW
7624329357,tecostore.vn form_finalize,ENABLED,WEBPAGE,SUBMIT_LEAD_FORM
7623955325,tecostore.vn form_start,ENABLED,WEBPAGE,SUBMIT_LEAD_FORM
7546747380,tecostore.vn form_submit,ENABLED,WEBPAGE,SUBMIT_LEAD_FORM
6949301434,Đăng ký lái thử,REMOVED,WEBPAGE,SUBMIT_LEAD_FORM
